user_id,age,region,device_type,past_30_day_sessions,past_30_day_spending,subscribed,future_spending,opted_out
1,56,East,Mobile,22,76.01,0,225.94,0
2,69,East,Mobile,19,93.39,0,182.96,0
3,46,West,Desktop,25,54.55,0,168.28,0
4,32,North,Mobile,25,157.95,0,275.97,0
5,60,East,Tablet,22,67.14,1,204.87,0
6,25,North,Tablet,20,135.46,0,276.23,0
7,38,West,Mobile,21,122.12,0,227.77,0
8,56,North,Mobile,21,65.2,0,94.26,0
9,36,East,Desktop,17,54.9,0,105.22,0
10,40,South,Mobile,17,68.78,0,190.88,0
11,28,South,Mobile,21,107.21,0,147.82,0
12,28,East,Desktop,22,115.4,1,193.43,0
13,41,East,Mobile,26,3.52,0,81.3,0
14,70,East,Desktop,22,147.26,0,246.46,0
15,53,East,Mobile,22,133.08,0,225.15,0
16,57,North,Mobile,29,184.18,0,311.88,0
17,41,East,Mobile,15,68.68,0,112.56,0
18,20,East,Tablet,23,62.53,0,129.77,0
19,39,East,Desktop,19,27.64,0,189.22,0
20,70,South,Desktop,18,135.95,0,291.4,0
21,19,West,Mobile,10,56.79,0,152.76,0
22,41,South,Mobile,19,81.76,0,202.3,0
23,61,North,Mobile,17,94.05,0,197.68,0
24,47,North,Mobile,24,73.78,0,176.32,0
25,55,West,Mobile,22,85.85,0,152.92,0
26,19,East,Desktop,15,57.49,0,200.46,0
27,38,North,Mobile,20,110.42,0,285.44,0
28,50,South,Desktop,19,120.8,1,200.07,1
29,29,South,Mobile,20,109.85,0,253.94,0
30,39,South,Tablet,16,76.15,0,147.43,0
31,61,East,Mobile,9,44.43,0,84.11,0
32,42,North,Mobile,21,149.06,0,237.21,0
33,66,West,Mobile,21,108.06,0,194.46,0
34,44,East,Mobile,16,113.29,0,229.17,0
35,59,South,Mobile,15,78.0,0,146.44,0
36,45,South,Mobile,19,40.61,0,165.3,0
37,33,South,Mobile,17,39.48,0,96.64,0
38,32,East,Desktop,13,95.9,0,177.53,0
39,64,East,Desktop,21,120.35,1,179.6,0
40,68,South,Desktop,24,132.43,0,189.94,0
41,61,West,Mobile,9,67.15,1,157.06,0
42,69,West,Desktop,18,144.52,0,247.71,0
43,20,North,Mobile,11,17.15,0,70.86,0
44,54,North,Mobile,14,66.71,0,112.71,0
45,68,West,Mobile,21,121.66,0,177.79,0
46,24,South,Mobile,13,67.28,0,162.74,0
47,38,West,Mobile,10,67.45,1,117.12,1
48,26,North,Mobile,15,61.18,0,211.11,0
49,56,South,Mobile,23,36.63,0,142.01,0
50,35,South,Desktop,19,90.88,0,207.75,1
51,21,South,Desktop,25,104.24,0,269.76,0
52,42,East,Tablet,23,87.21,1,159.66,0
53,31,North,Desktop,19,77.35,0,189.8,0
54,67,South,Mobile,20,58.98,0,173.72,0
55,26,East,Desktop,10,54.33,0,107.85,0
56,43,East,Desktop,15,81.15,1,108.74,0
57,70,West,Mobile,25,162.38,0,191.14,0
58,19,East,Mobile,18,40.51,0,93.08,0
59,37,West,Tablet,21,68.8,0,211.12,0
60,45,North,Mobile,20,86.02,0,152.12,0
61,64,South,Desktop,15,102.83,0,230.35,0
62,24,West,Mobile,20,73.02,0,138.64,0
63,61,North,Mobile,25,91.38,0,201.14,0
64,25,North,Mobile,27,62.16,0,192.39,0
65,64,East,Mobile,25,189.7,0,348.73,0
66,52,North,Desktop,25,93.41,0,183.15,0
67,31,South,Tablet,15,48.37,0,106.4,0
68,34,West,Mobile,28,157.54,0,198.95,0
69,53,East,Mobile,19,59.75,0,135.39,0
70,67,East,Desktop,22,64.47,1,298.7,0
71,57,East,Desktop,18,121.75,0,210.06,0
72,21,South,Mobile,27,141.43,0,201.57,0
73,19,North,Mobile,16,89.47,0,173.22,0
74,23,South,Desktop,23,104.07,0,238.95,0
75,59,South,Desktop,17,75.03,0,141.43,0
76,21,South,Mobile,19,52.74,0,101.38,0
77,46,North,Mobile,28,81.9,0,296.59,0
78,35,South,Tablet,32,188.58,0,336.32,0
79,43,North,Desktop,13,15.61,0,154.44,0
80,61,North,Mobile,23,160.23,0,256.24,0
81,51,West,Mobile,22,147.88,0,327.6,0
82,27,South,Desktop,15,1.46,0,117.9,0
83,53,North,Mobile,20,124.99,1,250.04,0
84,31,North,Mobile,19,49.76,0,93.59,0
85,48,North,Mobile,17,82.64,0,145.48,0
86,65,East,Mobile,17,103.35,0,215.69,0
87,32,North,Desktop,18,79.97,0,160.08,0
88,25,North,Mobile,15,27.25,0,124.88,0
89,31,East,Desktop,18,108.52,0,186.3,0
90,40,South,Mobile,23,191.63,0,323.65,0
91,57,South,Mobile,31,98.03,0,193.62,0
92,38,South,Mobile,26,182.69,0,320.97,0
93,33,North,Desktop,18,82.95,0,136.9,0
94,62,West,Desktop,21,149.47,0,242.71,0
95,35,West,Mobile,17,52.13,0,132.74,0
96,64,West,Desktop,23,182.12,0,260.26,0
97,70,West,Desktop,25,62.7,0,143.3,0
98,41,West,Tablet,16,110.05,0,214.26,0
99,43,East,Mobile,19,106.56,0,233.53,0
100,42,North,Desktop,16,101.58,0,203.77,0
101,62,South,Mobile,14,60.49,0,164.81,1
102,58,South,Mobile,23,178.26,1,297.62,0
103,46,South,Tablet,13,88.0,0,145.0,0
104,32,East,Mobile,16,65.6,0,85.09,0
105,62,North,Mobile,25,140.53,0,233.4,0
106,18,East,Mobile,22,123.75,1,227.36,0
107,42,West,Desktop,20,111.69,1,189.85,1
108,24,South,Desktop,19,63.06,0,219.48,0
109,26,East,Mobile,22,174.01,0,296.47,0
110,41,East,Tablet,13,41.07,0,117.52,0
111,18,East,Mobile,20,100.43,0,222.36,0
112,61,West,Mobile,21,90.66,0,272.62,0
113,25,South,Desktop,18,118.83,0,205.45,0
114,41,South,Mobile,19,49.32,0,103.68,0
115,28,East,Mobile,10,37.53,0,124.16,0
116,68,South,Mobile,17,134.8,0,186.31,0
117,34,North,Desktop,31,66.53,0,147.05,0
118,25,South,Mobile,17,160.99,0,318.05,0
119,52,East,Desktop,26,85.37,0,247.74,0
120,52,East,Desktop,17,83.7,0,202.08,0
121,50,South,Mobile,18,76.46,0,185.7,0
122,22,West,Desktop,9,68.86,0,94.91,0
123,59,North,Mobile,22,89.96,0,160.61,0
124,56,West,Mobile,19,42.19,0,187.33,0
125,58,East,Desktop,15,122.35,0,194.31,0
126,45,East,Tablet,20,44.33,0,106.77,0
127,24,North,Mobile,17,139.05,0,229.36,0
128,26,East,Mobile,22,55.2,0,177.8,0
129,25,East,Mobile,23,91.27,0,188.1,0
130,29,North,Mobile,17,131.68,0,221.73,0
131,51,East,Mobile,18,89.69,0,97.54,0
132,50,West,Mobile,18,116.81,0,211.66,0
133,65,North,Desktop,22,114.53,1,261.98,0
134,40,South,Mobile,20,76.37,0,171.26,0
135,41,East,Mobile,16,106.69,0,282.16,0
136,54,South,Desktop,22,56.24,0,126.97,0
137,52,East,Desktop,21,78.84,0,159.14,0
138,61,North,Mobile,24,142.14,0,227.53,0
139,57,North,Mobile,15,51.04,0,108.21,0
140,39,North,Desktop,19,10.11,0,120.6,0
141,44,North,Mobile,17,156.87,0,245.56,0
142,52,South,Mobile,15,52.6,0,215.63,0
143,18,West,Desktop,15,84.31,0,182.63,0
144,52,West,Mobile,18,67.0,0,124.82,0
145,54,South,Mobile,26,135.69,0,211.55,0
146,64,North,Mobile,15,78.6,0,233.13,0
147,31,East,Mobile,20,103.87,0,213.09,0
148,20,East,Mobile,22,153.82,0,315.41,0
149,18,North,Tablet,20,35.56,0,131.9,0
150,22,East,Mobile,18,74.12,0,168.17,0
151,43,East,Mobile,26,194.49,0,369.53,0
152,31,East,Mobile,25,132.14,0,260.27,0
153,56,East,Desktop,16,142.34,0,253.05,0
154,44,West,Mobile,19,53.27,0,130.39,1
155,26,South,Mobile,16,68.95,0,192.7,0
156,32,East,Desktop,24,201.48,0,316.66,0
157,32,West,Mobile,24,106.13,1,194.64,0
158,43,West,Mobile,18,76.84,0,256.62,0
159,59,East,Mobile,29,91.71,0,196.9,0
160,30,East,Mobile,20,125.77,0,196.73,0
161,68,East,Mobile,31,163.28,0,337.11,0
162,49,West,Desktop,19,100.34,1,227.62,0
163,56,West,Mobile,24,120.24,1,205.85,0
164,66,North,Mobile,26,170.99,1,289.03,1
165,69,East,Mobile,21,30.26,0,152.04,0
166,49,South,Mobile,15,81.76,0,178.39,0
167,21,East,Mobile,21,132.7,0,269.41,0
168,47,North,Desktop,15,52.55,0,137.54,0
169,54,West,Mobile,25,168.66,0,318.25,0
170,40,South,Desktop,15,77.33,0,152.71,0
171,56,West,Mobile,24,120.47,0,204.68,0
172,62,West,Mobile,21,78.26,0,220.21,0
173,32,South,Mobile,25,141.59,0,267.39,0
174,60,East,Mobile,19,173.05,1,307.93,0
175,46,South,Mobile,21,99.66,0,250.6,0
176,53,North,Mobile,18,73.58,0,144.04,0
177,30,South,Desktop,22,58.27,0,179.39,0
178,49,North,Mobile,26,177.36,0,389.9,0
179,24,South,Mobile,13,65.61,0,141.77,0
180,68,North,Mobile,22,142.27,0,202.24,0
181,39,North,Mobile,19,102.03,0,233.11,0
182,45,North,Mobile,15,69.97,0,90.38,0
183,19,North,Mobile,19,85.87,0,138.55,0
184,59,South,Mobile,18,150.68,0,252.0,0
185,62,South,Desktop,13,22.22,0,99.29,0
186,70,East,Desktop,23,122.7,0,238.5,0
187,23,North,Mobile,22,166.9,0,365.87,0
188,45,North,Mobile,11,93.61,0,178.36,0
189,45,North,Desktop,28,65.45,0,154.9,1
190,61,North,Mobile,24,217.81,0,311.95,0
191,61,West,Mobile,21,82.42,0,164.42,0
192,37,North,Mobile,29,95.3,0,164.28,0
193,47,East,Mobile,23,82.16,0,208.78,0
194,28,North,Mobile,21,90.25,0,203.34,0
195,45,North,Mobile,28,184.83,0,327.98,0
196,42,East,Mobile,17,74.63,0,198.12,0
197,56,South,Mobile,16,78.83,0,193.48,0
198,50,North,Desktop,26,172.18,0,236.14,0
199,18,North,Mobile,17,89.25,0,170.93,0
200,44,East,Mobile,19,158.35,0,252.58,0
201,69,North,Mobile,17,157.39,0,312.22,0
202,30,North,Desktop,16,68.55,0,216.01,1
203,58,West,Desktop,17,23.84,0,93.18,0
204,20,South,Desktop,26,216.99,0,301.04,0
205,56,South,Mobile,26,81.11,0,197.56,0
206,23,East,Desktop,22,75.39,0,164.18,0
207,25,East,Desktop,21,59.99,0,154.65,0
208,44,East,Mobile,13,36.59,0,164.87,0
209,26,South,Mobile,20,134.33,0,248.52,1
210,54,South,Mobile,16,87.58,0,159.14,0
211,50,North,Desktop,19,141.05,0,216.8,0
212,68,East,Mobile,24,92.44,0,142.24,0
213,59,East,Mobile,20,113.21,0,237.03,0
214,61,West,Desktop,18,130.27,0,240.58,0
215,41,South,Desktop,21,164.18,0,295.14,0
216,32,East,Desktop,19,95.63,0,192.52,1
217,49,North,Tablet,25,88.42,0,155.01,0
218,49,South,Mobile,20,143.4,0,249.97,0
219,41,North,Desktop,24,96.37,0,249.59,1
220,58,East,Mobile,22,115.18,0,223.03,0
221,69,North,Desktop,14,74.5,0,225.66,0
222,66,South,Mobile,24,125.6,0,246.25,0
223,66,North,Tablet,15,95.4,0,263.65,0
224,69,East,Desktop,16,84.6,0,257.02,0
225,29,West,Desktop,19,68.58,1,129.63,0
226,56,North,Mobile,26,81.3,0,165.56,0
227,19,East,Mobile,19,111.01,0,191.83,0
228,20,East,Desktop,16,22.4,0,38.32,1
229,66,North,Mobile,29,91.19,0,226.87,0
230,54,South,Desktop,15,29.67,0,130.1,0
231,66,North,Mobile,20,117.03,0,226.42,0
232,34,East,Desktop,14,133.97,0,176.43,0
233,66,South,Mobile,22,83.12,0,248.97,0
234,19,South,Desktop,19,99.86,0,122.63,0
235,19,South,Desktop,26,188.69,0,256.64,0
236,45,East,Mobile,14,51.76,0,170.38,0
237,40,North,Mobile,23,158.76,0,283.27,0
238,54,South,Mobile,19,95.52,0,168.51,0
239,49,East,Mobile,17,103.52,0,200.07,0
240,50,West,Mobile,21,39.12,0,140.2,0
241,18,West,Desktop,19,66.49,0,208.24,0
242,36,West,Mobile,14,41.94,0,75.48,0
243,19,East,Mobile,22,82.5,0,196.43,1
244,70,East,Mobile,25,143.99,0,301.54,0
245,61,South,Mobile,19,48.29,0,101.2,0
246,43,East,Mobile,23,116.82,0,222.44,0
247,49,North,Tablet,20,39.33,1,133.0,0
248,23,West,Desktop,21,172.83,0,217.57,0
249,49,West,Mobile,21,126.35,0,242.67,0
250,21,East,Mobile,22,125.04,0,245.62,0
251,28,North,Desktop,22,94.06,0,257.32,0
252,34,East,Mobile,16,111.26,0,203.53,0
253,55,West,Mobile,21,56.71,0,171.89,0
254,41,West,Mobile,19,51.12,0,203.12,0
255,22,North,Mobile,12,50.86,0,104.27,0
256,69,North,Tablet,16,91.93,0,135.89,0
257,51,West,Desktop,23,184.41,1,305.83,0
258,23,East,Mobile,26,158.07,0,267.99,0
259,39,East,Mobile,17,98.47,0,188.68,0
260,28,West,Desktop,26,150.99,0,251.17,0
261,65,North,Desktop,21,107.43,0,176.58,0
262,33,South,Desktop,26,130.13,0,282.51,0
263,50,North,Desktop,20,174.88,0,281.55,0
264,26,East,Mobile,15,57.05,0,232.57,0
265,23,West,Desktop,24,65.92,0,128.91,0
266,33,East,Desktop,15,73.49,0,241.09,0
267,46,West,Mobile,17,51.35,0,152.19,0
268,20,South,Desktop,23,92.76,0,198.78,0
269,37,East,Mobile,20,76.24,1,131.94,0
270,53,North,Mobile,13,45.56,1,101.71,0
271,36,East,Mobile,24,171.88,0,337.41,0
272,43,East,Mobile,15,56.39,0,35.41,0
273,20,North,Mobile,14,31.81,0,41.18,0
274,36,East,Mobile,16,38.81,0,60.22,0
275,37,East,Mobile,24,161.65,1,324.76,0
276,49,South,Mobile,12,47.71,0,153.71,0
277,24,South,Mobile,23,121.51,0,189.14,0
278,69,South,Mobile,24,94.34,1,185.01,0
279,58,North,Desktop,16,85.78,0,181.55,0
280,50,North,Mobile,24,138.08,0,290.67,0
281,57,South,Mobile,25,71.92,0,138.59,0
282,56,East,Desktop,26,131.19,0,251.64,0
283,35,North,Desktop,12,33.97,0,97.6,0
284,57,West,Desktop,22,211.49,1,324.62,1
285,18,South,Mobile,22,184.85,1,263.58,0
286,28,East,Mobile,16,57.91,0,154.09,0
287,45,North,Desktop,17,148.1,0,215.61,0
288,42,South,Mobile,16,91.07,0,186.0,0
